Location,Acronym,Notes
Fort Frederica NM,FOFR,
Fort Laramie NHS,FOLA,
Fort Larned NHS,FOLS,
Fort Matanzas NM,FOMA,
Fort McHenry NM & Historic Shrine,FOMC,
Fort Necessity NB,FONE,
Fort Point NHS,FOPO,
Fort Pulaski NM,FOPU,
Fort Raleigh NHS,FORA,
Fort Polk,Fort Polk,
Fort Scott NHS,FOSC,
Fort Smith NHS,FOSM,
Fort Stanwix NM,FOST,
Fort Sumter NM,FOSU,
Ford's Theatre NHS,FOTH,
Fort Union NM,FOUN,
Four Corners,Four Corners,
Fort Union Trading Post NHS,FOUS,
Fort Vancouver NHS,FOVA,
Fort Washington Park,FOWA,
Frederick Douglass NHS,FRDO,
Fredericksburg National Cemetery,FRED,
Friendship Hill National Historic Site,FRHI,
Frederick Law Olmsted National Historic Site,FRLA,
Fredericksburg & Spotsylvania NMP,FRSP,
Ft Drum,Ft Drum,
Ft Lee,Ft Lee,
Ft Polk,Ft Polk,
Ft Riley,Ft Riley,
Ft Wainwright,Ft Wainwright,
Gates of the Arctic NP and NPres,GAAR,
Gauley River NRA,GARI,
Gateway National Recreation Area,GATE,
General Grant NMem,GEGR,
George Rogers Clark NHP,GERO,
Gettysburg National Cemetery,GETC,
Gettysburg NMP,GETT,
George Washington Birthplace NM,GEWA,
Gila Cliff Dwellings NM,GICL,
Glacier NP,GLAC,
Glacier Bay NP and NPres,GLBA,
Glen Canyon NRA,GLCA,
Gloria Dei (Old Swedes) Church NHS,GLDE,
Glen Echo Park,GLEC,
Glorieta Battlefield,GLOR,
Golden Gate NRA,GOGA,
Golden Spike NHS,GOSP,
,,correct record(s) from Grand Staircase Escalante NM to GSENM
Great Basin NP,GRBA,
Grand Canyon NP,GRCA,
Geologic Resources Division,GRD,
Greenbelt Park,GREE,
Great Falls Park,GRFA,
Grant-Kohrs Ranch NHS,GRKO,
Great Onyx Job Corps Civ Cons Center,GRON,
Grand Portage NM,GRPO,
Great Sand Dunes NM and Npres,GRSA,
Great Smoky Mountains NP,GRSM,
Green Springs National Historic Landmark District,GRSP,
Grand Teton NP,GRTE,
Grand Staircase Escalante NM,GSENM,
Guilford Courthouse NMP,GUCO,
Gulf Islands NS,GUIS,
Guadalupe Mountains NP,GUMO,
"Gunnison Basin, CO",Gunnison Basin,
George Washington Carver NM,GWCA,
George Washington Memorial Parkway,GWMP,
Harpers Ferry NHP,HAFE,
Hagerman Fossil Beds NM,HAFO,
Hamilton Grange NMem,HAGR,
Haleakala NP,HALE,
Hampton NHS,HAMP,
Hawaii Volcanoes NP,HAVO,
Herbert Hoover NHS,HEHO,
Herbarium,Herbarium,
Harpers Ferry Center,HFC,
Harpers Ferry Job Corps Civ Cons Ctr,HFJC,
